location,label,original,fake
para#874,EMAIL,parag.pansare@kirtanepandit.com,emma.williams@example.com
para#885,COMPANY,Citibank N.A.,Northstar Corporation
para#886,PERSON,Floor,Emma Brown
para#887,ADDRESS,"Koregaon Park, Pune – 411 001 Maharashtra, India","111 Elm Road, Georgetown, ST 10011"
para#888,PHONE,+91 20 6606 4494,+91 10000 10
para#891,EMAIL,hitesh.ramani@citi.com,emma.jones@example.com
para#891,PERSON,Email,Peter Hernandez
para#895,COMPANY,Export-Import Bank of India,Bluewater Holdings
para#897,COMPANY,4th Floor,Summit Enterprises Ltd.
para#898,ADDRESS,"Signature Building, Bhandarkar road Shivaji Nagar, Pune – 411 004 Maharashtra, India","112 Birchwood Drive, Clinton, ST 10012"
para#899,EMAIL,pro@eximbankindia.in,emma.garcia@example.com
para#899,PHONE,+91 20 2640 3100,+91 10000 11
para#903,COMPANY,IndusInd Bank Limited,Vertex Global Limited
para#906,EMAIL,sharmila.joshi@indusind.com,emma.miller@example.com
para#906,PERSON,Email,Peter Hernandez
para#906,PERSON,Sharmila Joshi Website,Emma Davis
para#906,PHONE,+91-20-26234000,+91 10000 12
para#908,COMPANY,Bank Limited,Ironwood Holdings
para#909,COMPANY,CTS No,Silverline Corp
para#909,PERSON,Tanishq Showroom,Emma Rodriguez
para#909,COMPANY,Satguru House,Horizon Manufacturing Ltd.
para#909,COMPANY,3rd Floor,Crestview Industries
para#909,COMPANY,CBG,Meridian Group
para#910,ADDRESS,"Bund Garden Road, Pune – 411 001 Maharashtra, India","113 Willow Court, Madison, ST 10013"
para#911,EMAIL,cherag.gyara@icicibank.com,emma.martinez@example.com
para#911,PERSON,Email,Peter Hernandez
para#911,PERSON,Cherag Gyara Website,Emma Hernandez
para#911,PHONE,91 8879770456,+91 10000 13
para#913,COMPANY,HDFC Bank Limited,Falcon Enterprises Limited
para#914,COMPANY,5th Floor,Lakeside Manufacturing
para#917,PHONE,+91 20 6769 4648,+91 10000 14
para#918,EMAIL,manisha.shukla@hdfcbank.com,emma.lopez@example.com
para#920,COMPANY,Industrial Finance Branch,Falcon Enterprises Limited
para#920,COMPANY,State Bank of India,Ironwood Holdings
para#921,PERSON,Tara Chambers,Emma Wilson
para#924,PHONE,+91 20 2561 8211,+91 10000 15
para#925,EMAIL,rm6.ifbpune@sbi.co.in,emma.anderson@example.com
para#925,PERSON,Email,Peter Hernandez
para#929,PERSON,Sancheti Hospital Shivajinagar,Emma Thomas
para#929,PERSON,Kubera Chambers Opp,Emma Taylor
para#931,COMPANY,Ashish Mathew Pulloor,Pinnacle Corp
para#933,EMAIL,ashishmp@federalbank.co.in,emma.moore@example.com
para#933,PERSON,Email,Peter Hernandez
para#935,COMPANY,Bajaj Finance Limited,Cobalt Industries Ltd.
para#937,COMPANY,BKC,Lakeside Manufacturing
para#938,EMAIL,anand.soni@bajajfinserv.in,emma.jackson@example.com
para#938,PERSON,Email,Peter Hernandez
para#938,PERSON,Soni Website,Emma Martin
para#938,PHONE,+91 20 7157 6403,+91 10000 16
para#945,COMPANY,Monitoring Agency,Redstone Group
para#946,COMPANY,CARE Ratings Limited,Bluewater Holdings
para#947,COMPANY,Credit Rating,Acme Industries Limited
para#951,COMPANY,Green Shoe Option,Northstar Corporation
para#954,PERSON,SEBI ICDR,Peter Doe
para#954,PERSON,SEBI ICDR,Peter Doe
para#955,COMPANY,Securities and Exchange Board of India,Bluewater Holdings
para#956,PERSON,Listing SEBI Bhavan,Emma Lee
para#956,COMPANY,Corporation Finance Department Division,Summit Enterprises Ltd.
para#957,ADDRESS,"Bandra Kurla Complex, Bandra (E) Mumbai – 400 051, Maharashtra, India","114 Aspen Way, Franklin, ST 10014"
para#962,COMPANY,Working Days,Vertex Global Limited
para#962,COMPANY,Marathi,Silverline Corp
para#962,COMPANY,Loksatta,Horizon Manufacturing Ltd.
para#962,COMPANY,Jansatta,Crestview Industries
para#962,COMPANY,Financial Express,Meridian Group
para#962,COMPANY,Bids,Crestview Industries
para#963,COMPANY,ASBA,Vertex Global Limited
para#963,PERSON,Share Transfer Agents,Emma Johnson
para#963,COMPANY,Registrar,Silverline Corp
para#963,COMPANY,Syndicate,Meridian Group
para#963,COMPANY,UPI ID,Falcon Enterprises Limited
para#963,COMPANY,Non-Institutional Investors,Falcon Enterprises Limited
para#963,COMPANY,SCSBs,Silverline Corp
para#963,COMPANY,ASBA Account,Falcon Enterprises Limited
para#963,COMPANY,ASBA,Vertex Global Limited
para#963,PERSON,UPI Bidders,Peter Jones
para#963,COMPANY,SCSBs,Silverline Corp
para#963,COMPANY,ASBA Account,Falcon Enterprises Limited
para#963,COMPANY,ASBA,Vertex Global Limited
para#964,COMPANY,Bids,Crestview Industries
para#964,COMPANY,Bids,Crestview Industries
para#964,COMPANY,Retail Individual Investors,Ironwood Holdings
para#964,COMPANY,Bids,Crestview Industries
para#964,COMPANY,Non-Institutional Investors,Falcon Enterprises Limited
para#965,PERSON,Mutual Funds,Peter Smith
para#965,COMPANY,"Mutual Funds, Life Insurance Companies and Pension Funds",Redstone Group
para#965,COMPANY,Bids,Crestview Industries
para#965,COMPANY,Life Insurance Companies and Pension Funds,Acme Industries Limited
para#967,COMPANY,Bids,Crestview Industries
para#967,PERSON,SEBI ICDR,Peter Doe
para#967,PERSON,SEBI ICDR,Peter Doe
para#968,COMPANY,Bidders,Lakeside Manufacturing
para#969,COMPANY,Allotment,Meridian Group
para#972,COMPANY,Underwriters,Pinnacle Corp
para#972,PERSON,BRLM,Emma Perez
para#972,COMPANY,Bids,Crestview Industries
para#979,COMPANY,Basis of Allotment,Cobalt Industries Ltd.
para#980,PERSON,Exchange(s,Emma Thompson
para#980,COMPANY,Board of Directors,Northstar Corporation
para#981,COMPANY,Bidders,Lakeside Manufacturing
para#981,COMPANY,Underwriters,Pinnacle Corp
para#987,COMPANY,Basis of Allotment,Cobalt Industries Ltd.
para#989,COMPANY,IPO Committee,Horizon Manufacturing Ltd.
para#990,PERSON,SEBI ICDR,Peter Doe
para#990,PERSON,SEBI ICDR,Peter Doe
para#1010,COMPANY,E-MAIL,Lakeside Manufacturing
para#1012,ADDRESS,"11/3, 11/4 and 11/5 Village Birdewadi Chakan Taluka - Khed Pune – 410 501","115 Magnolia Boulevard, Greenville, ST 10015"
para#1014,ADDRESS,"201, Tower 2, Montreal Business Centre, Off Pallod Farms, Baner Pune – 411 045","116 Maple Avenue, Springfield, ST 10016"
para#1017,PERSON,Sarthak Malvadkar Company,Emma White
para#1019,PHONE,91 20 45053237,+91 10000 01
para#1019,EMAIL,cs.connect@kshinternational.com,john.parker@example.com
para#1022,COMPANY,KANCHENJUNGA FAMILY TRUST,Redstone Group
para#1022,COMPANY,ANNAPURNA FAMILY TRUST,Acme Industries Limited
para#1022,COMPANY,BROAD FAMILY TRUST,Northstar Corporation
para#1022,COMPANY,MAKALU FAMILY TRUST,Bluewater Holdings
para#1022,COMPANY,EVEREST FAMILY TRUST,Summit Enterprises Ltd.
para#1022,COMPANY,DHAULAGIRI FAMILY TRUST,Vertex Global Limited
para#1022,PERSON,RAKHI GIRIJA SHETTY,Emma Harris
para#1022,PERSON,ROHIT KUSHAL HEGDE,John Johnson
para#1022,PERSON,RAJESH KUSHAL HEGDE,John Williams
para#1022,PERSON,PUSHPA KUSHAL HEGDE,John Brown
para#1022,PERSON,KUSHAL SUBBAYYA HEGDE,John Jones
para#1027,COMPANY,SIZE,Redstone Group
para#1028,COMPANY,SIZE,Redstone Group
para#1030,COMPANY,ELIGIBILITY,Acme Industries Limited
para#1040,COMPANY,Non-Institutional Investors and,Northstar Corporation
para#1040,COMPANY,Qualified Institutional Buyers,Bluewater Holdings
para#1040,COMPANY,Issue of Capital,Summit Enterprises Ltd.
para#1042,PERSON,ACQUISITION PER EQUITY SHARE,Emma Sanchez
para#1042,COMPANY,SALE,Vertex Global Limited
para#1042,COMPANY,OFFER FOR,Silverline Corp
para#1042,PERSON,SELLING SHAREHOLDERS,Emma Clark
para#1047,COMPANY,SALE,Vertex Global Limited
para#1049,PERSON,Kushal Subbayya Hegde,John Jones
para#1053,PERSON,Pushpa Kushal Hegde,John Brown
para#1057,PERSON,Rajesh Kushal Hegde,John Williams
para#1061,PERSON,Rohit Kushal Hegde,John Johnson
para#1065,COMPANY,Kirtane & Pandit LLP,Silverline Corp
para#1066,COMPANY,Bonus,Acme Industries Limited
para#1066,COMPANY,Split of Equity Shares,Northstar Corporation
para#1067,COMPANY,RISKS,Horizon Manufacturing Ltd.
para#1068,COMPANY,Offer Price,Crestview Industries
para#1068,PERSON,Cap Price,Emma Ramirez
para#1070,PERSON,RISKS,Emma Lewis
para#1071,COMPANY,Bidders,Lakeside Manufacturing
para#1073,COMPANY,ISSUER,Meridian Group
para#1074,COMPANY,Promoter Selling,Silverline Corp
para#1074,COMPANY,inter alia,Silverline Corp
para#1077,COMPANY,National Stock Exchange of,Falcon Enterprises Limited
para#1079,COMPANY,NAME,Ironwood Holdings
para#1084,COMPANY,Nuvama	Wealth Management Limited,Pinnacle Corp
para#1085,COMPANY,Lokesh Shah/ Soumavo Sarkar,Redstone Group
para#1086,EMAIL,ksh.ipo@nuvama.com,peter.martinez@example.com
para#1086,PERSON,Email,Peter Hernandez
para#1087,PHONE,+91 22 4009 4400,+91 10000 17
para#1093,PERSON,Kishan Rastogi/ Abhijit Diwan,Liam Doe
para#1095,EMAIL,ksh@icicisecurities.com,peter.anderson@example.com
para#1096,PHONE,+91 22 6807 7100,+91 10000 03
para#1097,COMPANY,REGISTRAR,Silverline Corp
para#1098,COMPANY,REGISTRAR,Silverline Corp
para#1101,COMPANY,MUFG Intime India Private Limited,Vertex Global Limited
para#1103,PERSON,Shanti Gopalkrishnan,Peter Thompson
para#1105,EMAIL,kshinternational.ipo@in.mpms.mufg.com,peter.perez@example.com
para#1110,COMPANY,OPENS,Cobalt Industries Ltd.
para#1110,COMPANY,BID/OFFE R,Lakeside Manufacturing
para#1114,COMPANY,BID/OFFER CLOSES ON(2,Redstone Group
para#1116,COMPANY,EVEREST,Acme Industries Limited
para#1116,COMPANY,DHAULAGIRI FAMILY TRUST,Vertex Global Limited
para#1116,PERSON,RAKHI GIRIJA SHETTY,Emma Harris
para#1116,PERSON,ROHIT KUSHAL HEGDE,John Johnson
para#1116,PERSON,RAJESH KUSHAL HEGDE,John Williams
para#1116,PERSON,PUSHPA KUSHAL HEGDE,John Brown
para#1116,PERSON,KUSHAL SUBBAYYA HEGDE,John Jones
para#1117,COMPANY,KANCHENJUNGA FAMILY TRUST,Redstone Group
para#1117,COMPANY,ANNAPURNA FAMILY TRUST,Acme Industries Limited
para#1117,COMPANY,BROAD FAMILY TRUST,Northstar Corporation
para#1117,COMPANY,MAKALU FAMILY TRUST,Bluewater Holdings
para#1117,COMPANY,FAMILY TRUST,Northstar Corporation
para#1118,PERSON,EACH BY ROHIT KUSHAL,Liam Parker
para#1118,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1118,PERSON,EACH BY RAJESH KUSHAL,Liam Smith
para#1118,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1118,PERSON,EACH BY PUSHPA KUSHAL,Liam Johnson
para#1118,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1118,PERSON,EACH BY KUSHAL SUBBAYYA,Liam Williams
para#1118,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1118,PERSON,OFFERED SHARES,Liam Brown
para#1118,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1118,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1118,PERSON,PER EQUITY SHARE,Liam Jones
para#1118,PERSON,PER EQUITY SHARE,Liam Jones
para#1118,COMPANY,ISSUER,Meridian Group
para#1118,COMPANY,KSH INTERNATIONAL LIMITED,Acme Industries Limited
para#1118,PERSON,EQUITY SHARES,Liam Garcia
para#1118,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1119,COMPANY,EQUITY SHARE CAPITAL OF OUR COMPANY,Bluewater Holdings
para#1119,PERSON,SELLING SHAREHOLDERS,Emma Clark
para#1119,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1119,COMPANY,SALE OF,Summit Enterprises Ltd.
para#1119,PERSON,PROMOTER SELLING SHAREHOLDERS,Liam Miller
para#1119,COMPANY,COLLECTIVELY,Vertex Global Limited
para#1120,PERSON,SHALL BE MADE AVAILABLE,Liam Davis
para#1120,PERSON,WIDELY CIRCULATED MARATHI DAILY NEWSPAPER,Liam Rodriguez
para#1120,PERSON,DAILY NEWSPAPER,Liam Martinez
para#1120,PERSON,WIDELY CIRCULATED HINDI NATIONAL,Liam Hernandez
para#1120,PERSON,DAILY NEWSPAPER,Liam Martinez
para#1120,PERSON,WIDELY CIRCULATED ENGLISH NATIONAL,Liam Lopez
para#1120,PERSON,BOOK RUNNING LEAD MANAGERS,Liam Wilson
para#1120,PERSON,WILL BE DECIDED BY,Liam Anderson
para#1120,COMPANY,EQUITY,Horizon Manufacturing Ltd.
para#1121,PERSON,SEBI ICDR REGULATIONS,Liam Thomas
para#1121,PERSON,AS AMENDED,Liam Taylor
para#1121,PERSON,DISCLOSURE REQUIREMENTS,Liam Moore
para#1121,COMPANY,EXCHANGE BOARD OF INDIA,Silverline Corp
para#1122,COMPANY,Designated Intermediaries,Redstone Group
para#1122,COMPANY,Syndicate,Meridian Group
para#1124,COMPANY,Bids,Crestview Industries
para#1124,PERSON,SEBI ICDR,Peter Doe
para#1124,COMPANY,Retail Individual Investors,Ironwood Holdings
para#1124,COMPANY,Bids,Crestview Industries
para#1124,PERSON,SEBI ICDR,Peter Doe
para#1124,COMPANY,Bidders,Lakeside Manufacturing
para#1124,COMPANY,Non-Institutional Portion,Ironwood Holdings
para#1124,COMPANY,Non-Institutional Investors,Falcon Enterprises Limited
para#1124,COMPANY,Bids,Crestview Industries
para#1124,COMPANY,Mutual Funds,Lakeside Manufacturing
para#1124,COMPANY,Bids,Crestview Industries
para#1124,COMPANY,Mutual Funds,Lakeside Manufacturing
para#1124,PERSON,SEBI ICDR,Peter Doe
para#1124,PERSON,Mutual Funds,Peter Smith
para#1124,COMPANY,"Mutual Funds, Life Insurance Companies and Pension Funds",Redstone Group
para#1124,COMPANY,Bids,Crestview Industries
para#1124,COMPANY,Life Insurance Companies and Pension Funds,Acme Industries Limited
para#1124,PERSON,SEBI ICDR,Peter Doe
para#1124,COMPANY,Qualified Institutional Buyers,Bluewater Holdings
para#1124,PERSON,SEBI ICDR,Peter Doe
para#1124,PERSON,SEBI ICDR,Peter Doe
para#1125,COMPANY,ASBA,Vertex Global Limited
para#1125,COMPANY,UPI Bidders,Horizon Manufacturing Ltd.
para#1125,COMPANY,UPI ID,Falcon Enterprises Limited
para#1126,COMPANY,RISKS,Horizon Manufacturing Ltd.
para#1127,PERSON,Cap Price,Emma Ramirez
para#1127,PERSON,Floor Price,Liam Jackson
para#1130,COMPANY,Bidders,Lakeside Manufacturing
para#1130,COMPANY,Bidders,Lakeside Manufacturing
para#1131,COMPANY,ISSUER,Meridian Group
para#1132,COMPANY,Promoter Selling Shareholder,Crestview Industries
para#1132,COMPANY,inter alia,Silverline Corp
para#1137,COMPANY,REGISTRAR,Silverline Corp
para#1144,COMPANY,Nuvama Wealth Management Limited,Lakeside Manufacturing
para#1145,ADDRESS,"801 - 804, Wing A, Building No 3, Inspire BKC, G Block, Bandra Kurla Complex, Bandra East, Mumbai 400051, Maharashtra, India","117 Oak Street, Fairview, ST 10017"
para#1146,PHONE,+91 22 40094400,+91 10000 02
para#1147,EMAIL,ksh.ipo@nuvama.com,peter.martinez@example.com
para#1149,EMAIL,customerservice.mb@nuvama.com,peter.lopez@example.com
para#1150,COMPANY,Lokesh Shah/ Soumavo Sarkar,Redstone Group
para#1153,ADDRESS,"ICICI Venture House, Appasaheb Marathe Marg, Prabhadevi, Mumbai 400025, Maharashtra, India","118 Cedar Lane, Riverside, ST 10018"
para#1154,PHONE,+91 22 6807 7100,+91 10000 03
para#1155,EMAIL,ksh@icicisecurities.com,peter.anderson@example.com
para#1157,EMAIL,customercare@icicisecurities.com,peter.wilson@example.com
para#1158,PERSON,Kishan Rastogi/Abhijit Diwan,Peter Thomas
para#1160,COMPANY,MUFG Intime India Private Limited,Vertex Global Limited
para#1162,PERSON,Vikhroli,Peter Lee
para#1162,PERSON,C-101,Peter Martin
para#1164,EMAIL,kshinternational.ipo@in.mpms.mufg.com,peter.perez@example.com
para#1166,EMAIL,kshinternational.ipo@in.mpms.mufg.com,peter.perez@example.com
para#1167,PERSON,Shanti Gopalkrishnan,Peter Thompson
para#1168,COMPANY,INR000004058,Horizon Manufacturing Ltd.
para#1169,COMPANY,BID/ OFFER PERIOD,Meridian Group
para#1173,COMPANY,BID/OFFER OPENS ON,Falcon Enterprises Limited
para#1176,COMPANY,BID/OFFER CLOSES ON(2,Redstone Group
para#1181,COMPANY,KSH International Limited,Acme Industries Limited
para#1186,COMPANY,AoA/Articles of Association or,Ironwood Holdings
para#1188,COMPANY,Audit Committee,Pinnacle Corp
para#1191,COMPANY,Kirtane & Pandit LLP,Silverline Corp
para#1192,COMPANY,Board/ Board of Directors,Cobalt Industries Ltd.
para#1194,COMPANY,Bonus,Acme Industries Limited
para#1195,COMPANY,Bonus,Acme Industries Limited
para#1196,COMPANY,Equity Share,Crestview Industries
para#1198,COMPANY,Advisory Private Limited,Lakeside Manufacturing
para#1198,COMPANY,CARE Analytics and,Bluewater Holdings
para#1198,COMPANY,Advisory Private Limited,Lakeside Manufacturing
para#1198,COMPANY,CARE Analytics and,Bluewater Holdings
para#1201,PERSON,Kushal Subbayya Hegde,John Jones
para#1203,PERSON,Sandesh Bhagwat,John Miller
para#1205,PERSON,Amod Joshi,John Garcia
para#1207,PERSON,Sarthak Malvadkar,John Doe
para#1211,ADDRESS,"The corporate office of our company located at 201, Tower 2, Montreal Business Centre, Off Pallod Farms, Baner, Pune – 411 045, Maharashtra, India","119 Elm Road, Georgetown, ST 10019"
para#1213,PERSON,Waterloo Industrial Park VI Private Limited,John Smith
para#1214,COMPANY,Corporate Social Responsibility Committee,Redstone Group
para#1214,COMPANY,CSR,Acme Industries Limited
para#1222,COMPANY,ESOP,Northstar Corporation
para#1223,COMPANY,KSH Employee Stock Option Scheme 2025,Bluewater Holdings
para#1225,COMPANY,Rohit Branch,Summit Enterprises Ltd.
para#1225,COMPANY,Rakhi Branch,Vertex Global Limited
para#1225,PERSON,Sangeeta Branch,Liam Martin
para#1225,PERSON,Rajesh Branch,Liam Lee
para#1225,PERSON,Parents Branch,Liam Perez
para#1229,PERSON,Waterloo Industrial Park IX,Liam Thompson
para#1229,PERSON,Waterloo Industrial Park IX B Private Limited,Liam White
para#1229,PERSON,Waterloo Industrial Park IX Private Limited,Liam Harris
para#1229,PERSON,Waterloo Industrial Park VIII Private Limited,Liam Sanchez
para#1229,PERSON,Waterloo Industrial Park VI Private Limited,John Smith
para#1229,PERSON,Waterloo Industrial Park V Private Limited,John Sanchez
para#1229,PERSON,Waterloo Industrial Park IV Private Limited,John Clark
para#1229,PERSON,Waterloo Industrial Park III Private Limited,John Ramirez
para#1229,PERSON,Waterloo Industrial Park II Private Limited,Liam Clark
para#1229,PERSON,Waterloo Industrial Park,John Lewis
para#1229,COMPANY,Electricals Private Limited,Silverline Corp
para#1229,COMPANY,Kushal Motors,Horizon Manufacturing Ltd.
para#1229,COMPANY,KSH Integrated Logistics Private Limited,Crestview Industries
para#1229,COMPANY,KSH Distriparks Private Limited,Meridian Group
para#1229,COMPANY,KSH Infra Park VI Private Limited,Silverline Corp
para#1229,COMPANY,KSH Project Management Services Private Limited,Falcon Enterprises Limited
para#1229,COMPANY,Waterloo Motors Private Limited,Ironwood Holdings
para#1230,COMPANY,KSH Infra Park IV Private Limited,Horizon Manufacturing Ltd.
para#1231,COMPANY,Independent Director(s,Crestview Industries
para#1233,COMPANY,Independent Chartered Engineer,Meridian Group
para#1234,COMPANY,Lalit Muljibhai Sarvaiya,Cobalt Industries Ltd.
para#1235,COMPANY,Industry Data Provider/ CareEdge Research,Falcon Enterprises Limited
para#1236,COMPANY,CARE Analytics,Ironwood Holdings
para#1237,COMPANY,IPO Committee,Horizon Manufacturing Ltd.
para#1238,COMPANY,IPO,Pinnacle Corp
para#1239,COMPANY,Joint,Cobalt Industries Ltd.
para#1240,PERSON,Rohit Kushal Hegde,John Johnson
para#1241,PERSON,KMP/ Key Managerial Personnel,Liam Ramirez
para#1244,PERSON,Rajesh Kushal Hegde,John Williams
para#1248,COMPANY,MoA/ Memorandum of,Lakeside Manufacturing
para#1250,COMPANY,Remuneration Committee,Redstone Group
para#1252,COMPANY,Non-Independent,Acme Industries Limited
para#1252,COMPANY,Non-Executive,Northstar Corporation
para#1255,COMPANY,Board of Directors,Northstar Corporation
para#1256,PERSON,Parents Branch,Liam Perez
para#1257,COMPANY,Dhaulagiri Family Trust,Vertex Global Limited
para#1257,COMPANY,Broad Family Trust,Northstar Corporation
para#1257,PERSON,Pushpa Kushal Hegde,John Brown
para#1257,PERSON,Kushal Subbayya Hegde,John Jones
para#1258,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#1261,COMPANY,Makalu Family Trust,Bluewater Holdings
para#1261,COMPANY,Everest Family Trust,Summit Enterprises Ltd.
para#1261,COMPANY,Dhaulagiri Family Trust,Vertex Global Limited
para#1261,COMPANY,Rakhi Girija Shetty,Silverline Corp
para#1261,PERSON,Rohit Kushal Hegde,John Johnson
para#1261,PERSON,Rajesh Kushal Hegde,John Williams
para#1261,PERSON,Pushpa Kushal Hegde,John Brown
para#1261,PERSON,Kushal Subbayya Hegde,John Jones
para#1262,PERSON,Waterloo Industrial Park VI Private Limited,John Smith
para#1262,COMPANY,Kanchenjunga Family Trust,Redstone Group
para#1262,COMPANY,Annapurna Family Trust,Acme Industries Limited
para#1262,COMPANY,Family Trust,Northstar Corporation
para#1263,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#1264,PERSON,Rohit Kushal Hegde,John Johnson
para#1264,PERSON,Rajesh Kushal Hegde,John Williams
para#1264,PERSON,Pushpa Kushal Hegde,John Brown
para#1264,PERSON,Kushal Subbayya Hegde,John Jones
para#1265,PERSON,Promoter Trusts,Liam Lewis
para#1266,COMPANY,Kanchenjunga Family Trust,Redstone Group
para#1266,COMPANY,Annapurna Family Trust,Acme Industries Limited
para#1266,COMPANY,Broad Family Trust,Northstar Corporation
para#1266,COMPANY,Makalu Family Trust,Bluewater Holdings
para#1266,COMPANY,Everest Family Trust,Summit Enterprises Ltd.
para#1266,COMPANY,Dhaulagiri Family Trust,Vertex Global Limited
para#1267,PERSON,Rajesh Branch,Liam Lee
para#1268,COMPANY,Everest Family Trust,Summit Enterprises Ltd.
para#1268,PERSON,Rajesh Kushal Hegde,John Williams
para#1269,COMPANY,Rakhi Branch,Vertex Global Limited
para#1270,COMPANY,Annapurna Family Trust,Acme Industries Limited
para#1270,COMPANY,Rakhi Girija Shetty,Silverline Corp
para#1272,ADDRESS,"The registered office of our Company located at 11/3, 11/4 and 11/5, Village Birdewadi, Chakan Taluka-Khed, Pune – 410 501, Maharashtra, India","120 Birchwood Drive, Clinton, ST 10020"
para#1275,COMPANY,Registrar of Companies/RoC,Bluewater Holdings
para#1278,COMPANY,ICAI,Pinnacle Corp
para#1280,COMPANY,Risk Management Committee,Summit Enterprises Ltd.
para#1282,COMPANY,Rohit Branch,Summit Enterprises Ltd.
para#1283,COMPANY,Makalu Family Trust,Bluewater Holdings
para#1283,PERSON,Rohit Kushal Hegde,John Johnson
para#1284,PERSON,Sangeeta Branch,Liam Martin
para#1285,COMPANY,Kanchenjunga Family Trust,Redstone Group
para#1285,PERSON,Sangeeta Ramprasad Rai,Olivia Doe
para#1287,COMPANY,Board and Shareholders,Vertex Global Limited
para#1288,COMPANY,Capital Structure – Equity Share Capital History,Silverline Corp
para#1293,COMPANY,Stakeholders Relationship Committee,Horizon Manufacturing Ltd.
para#1295,PERSON,Supa Facility,John Anderson
para#1298,COMPANY,Plot No,Crestview Industries
para#1300,ADDRESS,"Our manufacturing facility located at 11/3, 11/4 and 11/5, Village Birdewadi, Chakan Taluka - Khed, Pune – 410 501, Maharashtra, India","121 Willow Court, Madison, ST 10021"
para#1302,PERSON,Taluka Khed,Olivia Parker
para#1302,PERSON,Village Khalumbre,Olivia Smith
para#1302,COMPANY,Chakan Industrial Area,Meridian Group
para#1302,COMPANY,Plot No,Crestview Industries
para#1304,COMPANY,Rakhi Girija Shetty,Silverline Corp
para#1309,PERSON,Acknowledgement Slip,Olivia Johnson
para#1313,COMPANY,Bidders,Lakeside Manufacturing
para#1314,COMPANY,Allotment Advice,Falcon Enterprises Limited
para#1315,COMPANY,Allotted the Equity Shares,Ironwood Holdings
para#1315,COMPANY,Bidders,Lakeside Manufacturing
para#1315,COMPANY,Allotment,Meridian Group
para#1319,PERSON,Bid,Peter Brown
para#1322,COMPANY,Anchor Investor Application Form,Pinnacle Corp
para#1323,COMPANY,Allotment,Meridian Group
para#1325,COMPANY,Bids,Crestview Industries
para#1325,COMPANY,Bids,Crestview Industries
para#1330,COMPANY,Allotted to Anchor Investors,Cobalt Industries Ltd.
para#1334,COMPANY,Working Days,Vertex Global Limited
para#1334,COMPANY,Anchor Investor(s,Lakeside Manufacturing
para#1336,COMPANY,"Mutual Funds, Life Insurance Companies and Pension Funds",Redstone Group
para#1336,COMPANY,Bids,Crestview Industries
para#1336,COMPANY,Life Insurance Companies and Pension Funds,Acme Industries Limited
para#1337,PERSON,Mutual Funds,Peter Smith
para#1338,COMPANY,ASBA,Vertex Global Limited
para#1339,PERSON,UPI Bidders,Peter Jones
para#1339,COMPANY,SCSB,Redstone Group
para#1339,PERSON,Bid,Peter Brown
para#1339,COMPANY,ASBA Bidders,Vertex Global Limited
para#1341,COMPANY,ASBA Account,Falcon Enterprises Limited
para#1342,COMPANY,SCSB,Redstone Group
para#1347,COMPANY,Allotment,Meridian Group
para#1347,COMPANY,ASBA Bidders,Vertex Global Limited
para#1348,COMPANY,ASM,Acme Industries Limited
para#1352,COMPANY,Basis of Allotment,Cobalt Industries Ltd.
para#1353,COMPANY,Bidders,Lakeside Manufacturing
para#1355,COMPANY,ASBA Bidder,Northstar Corporation
para#1358,COMPANY,Bids,Crestview Industries
para#1365,COMPANY,Bid/Offer Closing Date,Bluewater Holdings
para#1366,COMPANY,Syndicate,Meridian Group
para#1366,COMPANY,Bid/Offer Closing Date,Bluewater Holdings
para#1366,COMPANY,Loksatta,Horizon Manufacturing Ltd.
para#1366,COMPANY,Jansatta,Crestview Industries
para#1366,COMPANY,Financial Express,Meridian Group
para#1366,COMPANY,Bids,Crestview Industries
para#1366,COMPANY,Bids,Crestview Industries
para#1368,COMPANY,Offer Closing Date,Summit Enterprises Ltd.
para#1370,COMPANY,Bid/Offer Opening Date,Vertex Global Limited
para#1371,COMPANY,Financial Express,Meridian Group
para#1371,COMPANY,Bids,Crestview Industries
para#1371,COMPANY,Designated Intermediaries,Redstone Group
para#1371,COMPANY,Bids,Crestview Industries
para#1375,COMPANY,Loksatta,Horizon Manufacturing Ltd.
para#1375,COMPANY,Jansatta,Crestview Industries
para#1377,COMPANY,Offer Period,Silverline Corp
para#1378,COMPANY,Bidders,Lakeside Manufacturing
para#1378,COMPANY,Working Days,Vertex Global Limited
para#1378,COMPANY,Bids,Crestview Industries
para#1378,COMPANY,Bidders,Lakeside Manufacturing
para#1378,COMPANY,Bids,Crestview Industries
para#1384,COMPANY,Designated,Crestview Industries
para#1384,COMPANY,Designated Intermediaries,Redstone Group
para#1385,COMPANY,Designated CDP Locations,Horizon Manufacturing Ltd.
para#1385,COMPANY,SCSB Branches,Crestview Industries
para#1387,PERSON,Schedule XIII,Olivia Williams
